課別,生字,注音,部首,筆畫,詞語
113上 第六課：小路,在,ㄗㄞˋ,土,6,正在
113上 第六課：小路,向,ㄒㄧㄤˋ,口,6,方向
113上 第六課：小路,說,ㄕㄨㄛ,言,14,說話
113上 第六課：小路,朵,ㄉㄨㄛˇ,木,6,花朵
113上 第六課：小路,從,ㄘㄨㄥˊ,彳,11,從前
113上 第六課：小路,頭,ㄊㄡˊ,頁,16,頭髮
113上 第六課：小路,那,ㄋㄚˋ,邑,7,那邊
113下 第一課：看,要,ㄧㄠˋ,襾,9,想要
113下 第一課：看,靜,ㄐㄧㄥˋ,青,16,安靜
113下 第一課：看,天,ㄊㄧㄢ,大,4,天空
113下 第一課：看,空,ㄎㄨㄥ,穴,8,空間
113下 第一課：看,雲,ㄩㄣˊ,雨,12,白雲
113下 第一課：看,水,ㄕㄨㄟˇ,水,4,開水
113下 第一課：看,蟲,ㄔㄨㄥˊ,虫,18,昆蟲
113下 第一課：看,鳥,ㄋㄧㄠˇ,鳥,11,小鳥
113下 第一課：看,草,ㄘㄠˇ,艸,10,小草
113下 第一課：看,先,ㄒㄧㄢ,儿,6,先生
113下 第一課：看,完,ㄨㄢˊ,宀,7,完成
113下 第一課：看,再,ㄗㄞˋ,冂,6,再見
113下 第一課：看,去,ㄑㄩˋ,厶,5,回去
113下 第二課：花園裡有什麼？,園,ㄩㄢˊ,囗,13,公園
113下 第二課：花園裡有什麼？,聽,ㄊㄧㄥ,耳,22,聽話
113下 第二課：花園裡有什麼？,沒,ㄇㄟˊ,水,7,沒有
113下 第二課：花園裡有什麼？,正,ㄓㄥˋ,止,5,正在
113下 第二課：花園裡有什麼？,唱,ㄔㄤˋ,口,11,唱歌
113下 第二課：花園裡有什麼？,著,˙ㄓㄜ,艸,12,看著
113下 第二課：花園裡有什麼？,輕,ㄑㄧㄥ,車,14,輕快
113下 第二課：花園裡有什麼？,快,ㄎㄨㄞˋ,心,7,快樂
113下 第二課：花園裡有什麼？,歌,ㄍㄜ,欠,14,歌曲
113下 第二課：花園裡有什麼？,出,ㄔㄨ,凵,5,出口
113下 第二課：花園裡有什麼？,新,ㄒㄧㄣ,斤,13,新年
113下 第二課：花園裡有什麼？,芽,ㄧㄚˊ,艸,8,發芽
113下 第二課：花園裡有什麼？,聞,ㄨㄣˊ,耳,14,聽聞
113下 第二課：花園裡有什麼？,身,ㄕㄣ,身,7,身體
113下 第二課：花園裡有什麼？,香,ㄒㄧㄤ,香,9,香味
113下 第二課：花園裡有什麼？,呢,˙ㄋㄜ,口,8,你在呢
113下 第三課：媽媽的音樂會,媽,ㄇㄚ,女,13,媽媽
113下 第三課：媽媽的音樂會,音,ㄧㄣ,音,9,音樂
113下 第三課：媽媽的音樂會,樂,ㄩㄝˋ,木,15,音樂
113下 第三課：媽媽的音樂會,會,ㄏㄨㄟˋ,曰,13,開會
113下 第三課：媽媽的音樂會,始,ㄕˇ,女,8,開始
113下 第三課：媽媽的音樂會,來,ㄌㄞˊ,人,8,過來
113下 第三課：媽媽的音樂會,重,ㄓㄨㄥˋ,里,9,重要
113下 第三課：媽媽的音樂會,短,ㄉㄨㄢˇ,矢,12,長短
113下 第三課：媽媽的音樂會,陣,ㄓㄣˋ,阜,10,一陣
113下 第三課：媽媽的音樂會,過,ㄍㄨㄛˋ,辵,12,過去
113下 第三課：媽媽的音樂會,後,ㄏㄡˋ,彳,9,後面
113下 第三課：媽媽的音樂會,吃,ㄔ,口,6,吃飯
113下 第三課：媽媽的音樂會,菜,ㄘㄞˋ,艸,11,青菜
113下 第三課：媽媽的音樂會,就,ㄐㄧㄡˋ,尢,12,就是
113下 第三課：媽媽的音樂會,桌,ㄓㄨㄛ,木,10,桌子
113下 第三課：媽媽的音樂會,真,ㄓㄣ,目,10,認真
113下 第四課：鞋,鞋,ㄒㄧㄝˊ,革,15,鞋子
113下 第四課：鞋,回,ㄏㄨㄟˊ,囗,6,回來
113下 第四課：鞋,家,ㄐㄧㄚ,宀,10,家裡
113下 第四課：鞋,把,ㄅㄚˇ,手,7,一把
113下 第四課：鞋,脫,ㄊㄨㄛ,肉,11,脫下
113下 第四課：鞋,爸,ㄅㄚˋ,父,8,爸爸
113下 第四課：鞋,靠,ㄎㄠˋ,非,15,靠近
113下 第四課：鞋,見,ㄐㄧㄢˋ,見,7,看見
113下 第四課：鞋,像,ㄒㄧㄤˋ,人,14,好像
113下 第四課：鞋,船,ㄔㄨㄢˊ,舟,11,小船
113下 第四課：鞋,港,ㄍㄤˇ,水,12,港口
113下 第四課：鞋,口,ㄎㄡˇ,口,3,口中
113下 第四課：鞋,享,ㄒㄧㄤˇ,亠,8,享受
113下 第四課：鞋,受,ㄕㄡˋ,又,8,受傷
113下 第四課：鞋,溫,ㄨㄣ,水,13,溫暖
113下 第四課：鞋,暖,ㄋㄨㄢˇ,日,13,溫暖
113下 第五課：小種子快長大,種,ㄓㄨㄥˇ,禾,14,種子
113下 第五課：小種子快長大,問,ㄨㄣˋ,口,11,問題
113下 第五課：小種子快長大,怎,ㄗㄣˇ,心,9,怎麼
113下 第五課：小種子快長大,做,ㄗㄨㄛˋ,人,11,做事
113下 第五課：小種子快長大,它,ㄊㄚ,宀,5,它的
113下 第五課：小種子快長大,才,ㄘㄞˊ,手,3,人才
113下 第五課：小種子快長大,需,ㄒㄩ,雨,14,需要
113下 第五課：小種子快長大,於,ㄩˊ,方,8,對於
113下 第五課：小種子快長大,澆,ㄐㄧㄠ,水,15,澆水
113下 第五課：小種子快長大,陽,ㄧㄤˊ,阜,12,太陽
113下 第五課：小種子快長大,光,ㄍㄨㄤ,儿,6,陽光
113下 第五課：小種子快長大,放,ㄈㄤˋ,攴,8,放手
113下 第五課：小種子快長大,院,ㄩㄢˋ,阜,10,院子
113下 第五課：小種子快長大,公,ㄍㄨㄥ,八,4,公園
113下 第五課：小種子快長大,話,ㄏㄨㄚˋ,言,13,說話
113下 第五課：小種子快長大,伴,ㄅㄢˋ,人,7,夥伴
113下 第六課：奶奶的小跟班,奶,ㄋㄞˇ,女,5,奶奶
113下 第六課：奶奶的小跟班,跟,ㄍㄣ,足,13,跟著
113下 第六課：奶奶的小跟班,班,ㄅㄢ,玉,10,班級
113下 第六課：奶奶的小跟班,床,ㄔㄨㄤˊ,广,7,起床
113下 第六課：奶奶的小跟班,弟,ㄉㄧˋ,弓,7,弟弟
113下 第六課：奶奶的小跟班,她,ㄊㄚ,女,6,她們
113下 第六課：奶奶的小跟班,酒,ㄐㄧㄡˇ,酉,10,喝酒
113下 第六課：奶奶的小跟班,拿,ㄋㄚˊ,手,10,拿著
113下 第六課：奶奶的小跟班,卡,ㄎㄚˇ,卜,5,卡片
113下 第六課：奶奶的小跟班,片,ㄆㄧㄢˋ,片,4,一片
113下 第六課：奶奶的小跟班,給,ㄍㄟˇ,糸,12,送給
113下 第六課：奶奶的小跟班,寫,ㄒㄧㄝˇ,宀,15,寫字
113下 第六課：奶奶的小跟班,喜,ㄒㄧˇ,口,12,喜歡
113下 第六課：奶奶的小跟班,歡,ㄏㄨㄢ,欠,22,歡喜
113下 第六課：奶奶的小跟班,您,ㄋㄧㄣˊ,心,11,您好
113下 第六課：奶奶的小跟班,都,ㄉㄡ,邑,11,都是
113下 第七課：作夢的雲,作,ㄗㄨㄛˋ,人,7,作業
113下 第七課：作夢的雲,夢,ㄇㄥˋ,夕,14,做夢
113下 第七課：作夢的雲,躺,ㄊㄤˇ,身,15,躺下
113下 第七課：作夢的雲,自,ㄗˋ,自,6,自己
113下 第七課：作夢的雲,己,ㄐㄧˇ,己,3,自己
113下 第七課：作夢的雲,變,ㄅㄧㄢˋ,言,23,變化
113下 第七課：作夢的雲,成,ㄔㄥˊ,戈,6,成功
113下 第七課：作夢的雲,棉,ㄇㄧㄢˊ,木,12,棉花
113下 第七課：作夢的雲,糖,ㄊㄤˊ,米,16,糖果
113下 第七課：作夢的雲,黑,ㄏㄟ,黑,12,黑色
113下 第七課：作夢的雲,鵝,ㄜˊ,鳥,18,天鵝
113下 第七課：作夢的雲,得,˙ㄉㄜ,彳,11,得到
113下 第七課：作夢的雲,更,ㄍㄥˋ,曰,7,更好
113下 第七課：作夢的雲,漂,ㄆㄧㄠˋ,水,14,漂亮
113下 第七課：作夢的雲,亮,ㄌㄧㄤˋ,亠,9,明亮
113下 第八課：妹妹的紅雨鞋,妹,ㄇㄟˋ,女,8,妹妹
113下 第八課：妹妹的紅雨鞋,雨,ㄩˇ,雨,8,下雨
113下 第八課：妹妹的紅雨鞋,雙,ㄕㄨㄤ,隹,18,雙手
113下 第八課：妹妹的紅雨鞋,穿,ㄔㄨㄢ,穴,9,穿衣
113下 第八課：妹妹的紅雨鞋,滴,ㄉㄧ,水,14,水滴
113下 第八課：妹妹的紅雨鞋,遊,ㄧㄡˊ,辵,13,遊戲
113下 第八課：妹妹的紅雨鞋,戲,ㄒㄧˋ,戈,17,遊戲
113下 第八課：妹妹的紅雨鞋,顆,ㄎㄜ,頁,17,一顆
113下 第八課：妹妹的紅雨鞋,珍,ㄓㄣ,玉,9,珍珠
113下 第八課：妹妹的紅雨鞋,珠,ㄓㄨ,玉,10,珍珠
113下 第八課：妹妹的紅雨鞋,落,ㄌㄨㄛˋ,艸,13,落地
113下 第八課：妹妹的紅雨鞋,面,ㄇㄧㄢˋ,面,9,前面
113下 第八課：妹妹的紅雨鞋,魚,ㄩˊ,魚,11,小魚
113下 第八課：妹妹的紅雨鞋,缸,ㄍㄤ,缶,9,魚缸
113下 第八課：妹妹的紅雨鞋,金,ㄐㄧㄣ,金,8,金魚
113下 第八課：妹妹的紅雨鞋,游,ㄧㄡˊ,水,12,游泳
113下 第九課：七彩的虹,彩,ㄘㄞˇ,彡,11,彩色
113下 第九課：七彩的虹,虹,ㄏㄨㄥˊ,虫,9,彩虹
113下 第九課：七彩的虹,太,ㄊㄞˋ,大,4,太陽
113下 第九課：七彩的虹,國,ㄍㄨㄛˊ,囗,11,國家
113下 第九課：七彩的虹,掃,ㄙㄠˇ,手,11,掃除
113下 第九課：七彩的虹,除,ㄔㄨˊ,阜,10,除法
113下 第九課：七彩的虹,洗,ㄒㄧˇ,水,9,洗手
113下 第九課：七彩的虹,淨,ㄐㄧㄥˋ,水,11,乾淨
113下 第九課：七彩的虹,馬,ㄇㄚˇ,馬,10,馬兒
113下 第九課：七彩的虹,低,ㄉㄧ,亻,7,低頭
113下 第九課：七彩的虹,刷,ㄕㄨㄚ,刀,8,刷牙
113下 第九課：七彩的虹,樹,ㄕㄨˋ,木,16,樹木
113下 第九課：七彩的虹,葉,ㄧㄝˋ,艸,13,樹葉
113下 第九課：七彩的虹,很,ㄏㄣˇ,彳,9,很好
113下 第九課：七彩的虹,認,ㄖㄣˋ,言,14,認真
113下 第九課：七彩的虹,送,ㄙㄨㄥˋ,辵,10,送給
113下 第十課：和你在一起,地,ㄉㄧˋ,土,6,地上
113下 第十課：和你在一起,化,ㄏㄨㄚˋ,匕,4,文化
113下 第十課：和你在一起,趣,ㄑㄩˋ,走,15,有趣
113下 第十課：和你在一起,線,ㄒㄧㄢˋ,糸,15,直線
113下 第十課：和你在一起,風,ㄈㄥ,風,9,吹風
113下 第十課：和你在一起,箏,ㄓㄥ,竹,14,風箏
113下 第十課：和你在一起,升,ㄕㄥ,十,4,上升
113下 第十課：和你在一起,神,ㄕㄣˊ,示,9,神奇
113下 第十課：和你在一起,奇,ㄑㄧˊ,大,8,奇怪
113下 第十課：和你在一起,跑,ㄆㄠˇ,足,12,跑步
113下 第十課：和你在一起,跳,ㄊㄧㄠˋ,足,13,跳高
113下 第十課：和你在一起,笑,ㄒㄧㄠˋ,竹,10,大笑
113下 第十課：和你在一起,每,ㄇㄟˇ,毋,7,每天
113下 第十課：和你在一起,件,ㄐㄧㄢˋ,亻,6,一件
113下 第十課：和你在一起,事,ㄕˋ,亅,8,事情
113下 第十課：和你在一起,情,ㄑㄧㄥˊ,心,11,心情
113下 第十一課：生日快樂,生,ㄕㄥ,生,5,生活
113下 第十一課：生日快樂,日,ㄖˋ,日,4,日子
113下 第十一課：生日快樂,今,ㄐㄧㄣ,人,4,今天
113下 第十一課：生日快樂,記,ㄐㄧˋ,言,10,記住
113下 第十一課：生日快樂,時,ㄕˊ,日,10,時間
113下 第十一課：生日快樂,知,ㄓ,矢,8,知道
113下 第十一課：生日快樂,道,ㄉㄠˋ,辵,13,道路
113下 第十一課：生日快樂,嗎,ㄇㄚ,口,13,好嗎
113下 第十一課：生日快樂,學,ㄒㄩㄝˊ,子,16,學生
113下 第十一課：生日快樂,收,ㄕㄡ,攴,6,收下
113下 第十一課：生日快樂,張,ㄓㄤ,弓,11,一張
113下 第十一課：生日快樂,祝,ㄓㄨˋ,示,9,祝福
113下 第十一課：生日快樂,福,ㄈㄨˊ,示,13,幸福
113下 第十一課：生日快樂,第,ㄉㄧˋ,竹,11,第一
113下 第十一課：生日快樂,次,ㄘˋ,欠,6,一次
113下 第十一課：生日快樂,謝,ㄒㄧㄝˋ,言,17,謝謝
113下 第十二課：小黑,想,ㄒㄧㄤˇ,心,13,想要
113下 第十二課：小黑,燈,ㄉㄥ,火,16,電燈
113下 第十二課：小黑,前,ㄑㄧㄢˊ,刀,9,前面
113下 第十二課：小黑,點,ㄉㄧㄢˇ,黑,17,點心
113下 第十二課：小黑,半,ㄅㄢˋ,十,5,一半
113下 第十二課：小黑,清,ㄑㄧㄥ,水,11,清楚
113下 第十二課：小黑,楚,ㄔㄨˇ,木,13,清楚
113下 第十二課：小黑,停,ㄊㄧㄥˊ,亻,11,停止
113下 第十二課：小黑,休,ㄒㄧㄡ,亻,6,休息
113下 第十二課：小黑,息,ㄒㄧˊ,心,10,消息
113下 第十二課：小黑,兒,ㄦˊ,儿,8,兒子
113下 第十二課：小黑,吧,ㄅㄚ,口,7,走吧
113下 第十二課：小黑,幫,ㄅㄤ,巾,17,幫忙
113下 第十二課：小黑,加,ㄐㄧㄚ,力,5,加油
113下 第十二課：小黑,油,ㄧㄡˊ,水,8,奶油
113下 第十二課：小黑,慢,ㄇㄢˋ,心,14,慢慢
114上 第一課：新學年新希望,年,ㄋㄧㄢˊ,干,6,今年
114上 第一課：新學年新希望,希,ㄒㄧ,巾,7,希望
114上 第一課：新學年新希望,望,ㄨㄤˋ,月,11,希望
114上 第一課：新學年新希望,坐,ㄗㄨㄛˋ,土,7,坐下
114上 第一課：新學年新希望,位,ㄨㄟˋ,人,7,座位
114上 第一課：新學年新希望,本,ㄅㄣˇ,木,5,本子
114上 第一課：新學年新希望,淡,ㄉㄢˋ,水,11,淡色
114上 第一課：新學年新希望,書,ㄕㄨ,曰,10,讀書
114上 第一課：新學年新希望,老,ㄌㄠˇ,老,6,老師
114上 第一課：新學年新希望,師,ㄕ,巾,6,老師
114上 第一課：新學年新希望,以,ㄧˇ,人,5,以後
114上 第一課：新學年新希望,為,ㄨㄟˊ,火,9,因為
114上 第一課：新學年新希望,故,ㄍㄨˋ,攴,9,故事
114上 第一課：新學年新希望,用,ㄩㄥˋ,用,5,用力
114上 第一課：新學年新希望,力,ㄌㄧˋ,力,2,力量
114上 第一課：新學年新希望,只,ㄓˇ,口,5,只有
114上 第一課：新學年新希望,現,ㄒㄧㄢˋ,玉,11,現在
114上 第一課：新學年新希望,還,ㄏㄞˊ,辵,17,還有
114上 第二課：一起做早餐,全,ㄑㄩㄢˊ,入,6,全部
114上 第二課：一起做早餐,蛋,ㄉㄢˋ,虫,11,雞蛋
114上 第二課：一起做早餐,煎,ㄐㄧㄢ,火,13,煎蛋
114上 第二課：一起做早餐,圓,ㄩㄢˊ,囗,13,圓形
114上 第二課：一起做早餐,番,ㄈㄢ,田,12,番茄
114上 第二課：一起做早餐,茄,ㄑㄧㄝˊ,艸,9,茄子
114上 第二課：一起做早餐,切,ㄑㄧㄝ,刀,4,切開
114上 第二課：一起做早餐,輪,ㄌㄨㄣˊ,車,15,輪子
114上 第二課：一起做早餐,司,ㄙ,口,5,司機
114上 第二課：一起做早餐,夾,ㄐㄧㄚˊ,大,7,夾子
114上 第二課：一起做早餐,吐,ㄊㄨˇ,口,6,吐氣
114上 第二課：一起做早餐,中,ㄓㄨㄥ,丨,4,中間
114上 第二課：一起做早餐,方,ㄈㄤ,方,4,方向
114上 第二課：一起做早餐,城,ㄔㄥˊ,土,9,城市
114上 第二課：一起做早餐,堡,ㄅㄠˇ,土,12,城堡
114上 第二課：一起做早餐,接,ㄐㄧㄝ,手,11,接手
114上 第二課：一起做早餐,畫,ㄏㄨㄚˋ,田,12,畫圖
114上 第二課：一起做早餐,臉,ㄌㄧㄢˇ,肉,17,洗臉
114上 第三課：走過小巷,巷,ㄒㄧㄤˋ,己,9,小巷
114上 第三課：走過小巷,叔,ㄕㄨˊ,又,8,叔叔
114上 第三課：走過小巷,貓,ㄇㄠ,豸,16,小貓
114上 第三課：走過小巷,屋,ㄨ,尸,9,房屋
114上 第三課：走過小巷,捧,ㄆㄥˇ,手,11,捧著
114上 第三課：走過小巷,蝴,ㄏㄨˊ,虫,15,蝴蝶
114上 第三課：走過小巷,蝶,ㄉㄧㄝˊ,虫,15,蝴蝶
114上 第三課：走過小巷,忙,ㄇㄤˊ,心,6,忙碌
114上 第三課：走過小巷,娶,ㄑㄩˇ,女,11,娶親
114上 第三課：走過小巷,娘,ㄋㄧㄤˊ,女,10,新娘
114上 第三課：走過小巷,黃,ㄏㄨㄤˊ,黃,12,黃色
114上 第三課：走過小巷,筆,ㄅㄧˇ,竹,12,筆墨
114上 第三課：走過小巷,打,ㄉㄚˇ,手,5,打球
114上 第三課：走過小巷,扮,ㄅㄢˋ,手,7,打扮
114上 第三課：走過小巷,樣,ㄧㄤˋ,木,15,樣子
114上 第三課：走過小巷,越,ㄩㄝˋ,走,12,越過
114上 第三課：走過小巷,美,ㄇㄟˇ,羊,9,美麗
114上 第三課：走過小巷,麗,ㄌㄧˋ,鹿,19,美麗
114上 第四課：運動會,運,ㄩㄣˋ,辵,13,運動
114上 第四課：運動會,動,ㄉㄨㄥˋ,力,11,動物
114上 第四課：運動會,飄,ㄆㄧㄠ,風,20,飄動
114上 第四課：運動會,熱,ㄖㄜˋ,火,15,熱水
114上 第四課：運動會,鬧,ㄋㄠˋ,鬥,15,熱鬧
114上 第四課：運動會,舞,ㄨˇ,舛,14,跳舞
114上 第四課：運動會,哇,ㄨㄚ˙,口,9,好哇
114上 第四課：運動會,往,ㄨㄤˇ,彳,8,前往
114上 第四課：運動會,容,ㄖㄨㄥˊ,宀,10,容易
114上 第四課：運動會,步,ㄅㄨˋ,止,7,腳步
114上 第四課：運動會,汗,ㄏㄢˋ,水,6,流汗
114上 第四課：運動會,腳,ㄐㄧㄠˇ,肉,13,雙腳
114上 第四課：運動會,協,ㄒㄧㄝˊ,十,8,合作
114上 第四課：運動會,聲,ㄕㄥ,耳,17,聲音
114上 第四課：運動會,河,ㄏㄜˊ,水,8,河水
114上 第四課：運動會,氣,ㄑㄧˋ,气,10,天氣
114上 第四課：運動會,最,ㄗㄨㄟˋ,冂,12,最高
114上 第四課：運動會,可,ㄎㄜˇ,口,5,可以
114上 第五課：坐竹籃船,竹,ㄓㄨˊ,竹,6,竹子
114上 第五課：坐竹籃船,籃,ㄌㄢˊ,竹,20,竹籃
114上 第五課：坐竹籃船,鄉,ㄒㄧㄤ,邑,12,鄉下
114上 第五課：坐竹籃船,南,ㄋㄢˊ,十,9,南方
114上 第五課：坐竹籃船,暑,ㄕㄨˇ,日,12,暑假
114上 第五課：坐竹籃船,假,ㄐㄧㄚˋ ,人,11,假裝
114上 第五課：坐竹籃船,帶,ㄉㄞˋ,巾,11,帶領
114上 第五課：坐竹籃船,等,ㄉㄥˇ,竹,12,等待
114上 第五課：坐竹籃船,跨,ㄎㄨㄚˋ,足,13,跨步
114上 第五課：坐竹籃船,划,ㄏㄨㄚˊ,刀,6,划船
114上 第五課：坐竹籃船,吹,ㄔㄨㄟ,口,7,吹風
114上 第五課：坐竹籃船,邊,ㄅㄧㄢ,辵,19,旁邊
114上 第五課：坐竹籃船,叫,ㄐㄧㄠˋ,口,5,大叫
114上 第五課：坐竹籃船,原,ㄩㄢˊ,厂,10,原來
114上 第五課：坐竹籃船,近,ㄐㄧㄣˋ,辵,8,附近
114上 第五課：坐竹籃船,捕,ㄅㄨˇ,手,10,捕捉
114上 第五課：坐竹籃船,活,ㄏㄨㄛˊ,水,9,活動
114上 第五課：坐竹籃船,識,ㄕˋ,言,19,認識
114上 第六課：小鎮的柿餅節,鎮,ㄓㄣˋ,金,18,城鎮
114上 第六課：小鎮的柿餅節,餅,ㄅㄧㄥˇ,食,14,餅乾
114上 第六課：小鎮的柿餅節,節,ㄐㄧㄝˊ,竹,13,節日
114上 第六課：小鎮的柿餅節,因,ㄧㄣ,囗,6,因為
114上 第六課：小鎮的柿餅節,此,ㄘˇ,止,6,此外
114上 第六課：小鎮的柿餅節,進,ㄐㄧㄣˋ,辵,12,進步
114上 第六課：小鎮的柿餅節,排,ㄆㄞˊ,手,11,排隊
114上 第六課：小鎮的柿餅節,遠,ㄩㄢˇ,辵,14,遠方
114上 第六課：小鎮的柿餅節,色,ㄙㄜˋ,色,6,顏色
114上 第六課：小鎮的柿餅節,愛,ㄞˋ,心,13,愛心
114上 第六課：小鎮的柿餅節,月,ㄩㄝˋ,月,4,月亮
114上 第六課：小鎮的柿餅節,乾,ㄍㄢ,乙,11,乾淨
114上 第六課：小鎮的柿餅節,甜,ㄊㄧㄢˊ,甘,11,甜美
114上 第六課：小鎮的柿餅節,客,ㄎㄜˋ,宀,9,客人
114上 第六課：小鎮的柿餅節,買,ㄇㄞˇ,貝,12,買賣
114上 第六課：小鎮的柿餅節,親,ㄑㄧㄣ,見,16,親人
114上 第六課：小鎮的柿餅節,如,ㄖㄨˊ,女,6,如果
114上 第六課：小鎮的柿餅節,意,ㄧˋ,心,13,意思
114上 第七課：國王的新衣裳,衣,ㄧ,衣,6,衣服
114上 第七課：國王的新衣裳,胖,ㄆㄤˋ,肉,9,胖子
114上 第七課：國王的新衣裳,針,ㄓㄣ,金,10,打針
114上 第七課：國王的新衣裳,簡,ㄐㄧㄢˇ,竹,18,簡單
114上 第七課：國王的新衣裳,單,ㄉㄢ,口,12,單數
114上 第七課：國王的新衣裳,聰,ㄘㄨㄥ,耳,17,聰明
114上 第七課：國王的新衣裳,明,ㄇㄧㄥˊ,日,8,明天
114上 第七課：國王的新衣裳,臣,ㄔㄣˊ,臣,6,大臣
114上 第七課：國王的新衣裳,敢,ㄍㄢˇ,攴,12,勇敢
114上 第七課：國王的新衣裳,東,ㄉㄨㄥ,木,8,東方
114上 第七課：國王的新衣裳,西,ㄒㄧ,襾,6,西方
114上 第七課：國王的新衣裳,直,ㄓˊ,目,8,筆直
114上 第七課：國王的新衣裳,棒,ㄅㄤˋ,木,12,很棒
114上 第七課：國王的新衣裳,街,ㄐㄧㄝ,行,12,街道
114上 第七課：國王的新衣裳,滿,ㄇㄢˇ,水,13,充滿
114上 第七課：國王的新衣裳,眼,ㄧㄢˇ,目,11,眼睛
114上 第七課：國王的新衣裳,哪,ㄋㄚ˙,口,10,哪裡
114上 第七課：國王的新衣裳,思,ㄙ,心,9,思想
114上 第八課：「聰明」的小熊,渴,ㄎㄜˇ,水,12,口渴
